+------------+----------------------------------+
| Сommits #  |  Contributor                     |
+------------+----------------------------------+
|  1719      |  Perttu Ahola                    |
|   372      |  kwolekr                         |
|   292      |  sapier                          |
|   212      |  Kahrl                           |
|   192      |  PilzAdam                        |
|   185      |  Nils Dagsson Moskopp            |
|   176      |  ShadowNinja                     |
|   112      |  Loic Blot                       |
|   108      |  Craig Robbins                   |
|    97      |  Giuseppe Bilotta                |
|    81      |  RealBadAngel                    |
|    81      |  sfan5                           |
|    65      |  proller                         |
|    63      |  paramat                         |
|    59      |  Ilya Zhuravlev                  |
|    56      |  BlockMen                        |
|    54      |  est31                           |
|    52      |  OttoLidenbrock                  |
|    44      |  Constantin Wenger               |
|    34      |  Novatux                         |
|    30      |  Maksim Gamarnik                 |
|    30      |  MirceaKitsune                   |
|    29      |  Ciaran Gultnieks                |
|    28      |  SmallJoker                      |
|    27      |  Diego Martínez                  |
|    22      |  4aiman                          |
|    21      |  darkrose                        |
|    19      |  Weblate                         |
|    18      |  JacobF                          |
|    15      |  Calinou                         |
|    15      |  Jürgen Doser                    |
|    15      |  Matthew I                       |
|    13      |  Shen Zheyu                      |
|    11      |  Jeija                           |
|    10      |  Aaron Suen                      |
|    10      |  Anton Tsyganenko                |
|    10      |  Mark Holmquist                  |
|    10      |  MetaDucky                       |
|    10      |  gregorycu                       |
|    10      |  ngosang                         |
|    10      |  rubenwardy                      |
|    10      |  teddydestodes                   |
|     9      |  Esteban I. Ruiz Moreno          |
|     9      |  Rui                             |
|     8      |  0gb.us                          |
|     8      |  Felix Krause                    |
|     8      |  Francizca Rodriguez             |
|     8      |  Jonathan Neuschäfer             |
|     7      |  Mitori Itoshiki                 |
|     7      |  Selat                           |
|     7      |  Zeg9                            |
|     6      |  Chynggyz Jumaliev               |
|     6      |  DannyDark                       |
|     6      |  Dmitry Marakasov                |
|     6      |  Frederico Guimarães             |
|     6      |  Kodexky                         |
|     6      |  Pavel Puchkin                   |
|     6      |  Sebastian Rühl                  |
|     6      |  manuel duarte                   |
|     5      |  Jakub Vaněk                     |
|     5      |  Lord James                      |
|     5      |  Marco gonzalez                  |
|     5      |  Vanessa Ezekowitz               |
|     4      |  Cyriaque Skrapits               |
|     4      |  Juhani Numminen                 |
|     4      |  Markus Koschany                 |
|     4      |  Pavel Elagin                    |
|     4      |  TeTpaAka                        |
|     4      |  TriBlade9                       |
|     4      |  Weedy                           |
|     4      |  Zefram                          |
|     4      |  khonkhortisan                   |
|     4      |  nerzhul                         |
|     4      |  q66                             |
|     3      |  Andreas Zwinkau                 |
|     3      |  Bektur Mambetov                 |
|     3      |  Heisenberg CZE                  |
|     3      |  Kevin Ott                       |
|     3      |  King Artur                      |
|     3      |  Ner'zhul                        |
|     3      |  Pablo Lezaeta                   |
|     3      |  Wuzzy                           |
|     3      |  fz72                            |
|     3      |  kilbith                         |
